content,score,cleaned_content,sentiment
baru pake aplikasi tokopedia lebih gampang dan slalu amanah,5,pake aplikasi tokopedia gampang slalu amanah,netral
"masih, pelayanan yg sangat buruk",1,layan yg buruk,negatif
selalu jadi belanja lebih mudah hemat dan praktis,5,belanja mudah hemat praktis,positif
Pengalaman buruk di Tokopedia,1,alam buruk tokopedia,negatif
refund ongkir gak dibalikin buset 😂,1,refund ongkir dibalikin buset,netral
"signalnya jarus pilih yang kuat, kalau di desa lemmod",2,signalnya jarus pilih kuat desa lemmod,negatif
baik,5,,netral
bestpromo Banyakin kak,5,bestpromo banyakin kak,netral
okee,5,okee,netral
mau checkout barang malah pin point di maps malah ngasal atau random ke rumah orang lain pantes aplikasi nya buruk banget,1,checkout barang pin point maps ngasal random rumah orang pantes aplikasi nya buruk banget,negatif
lumayan,5,lumayan,netral
Banyak seller yg cuek ketika di tanya masalah barangnya padahal kondisi sudah membayar,2,seller yg cuek barang kondisi bayar,netral
"banyak toko palsu udah di order gak di kirim kirim ,udah 3 kali order hp gak di kirim kirim",4,toko palsu order kirim kirim kali order hp kirim kirim,positif
terlalu banyak penipu,1,tipu,netral
"sejauh ini udah baik,cuma banyak kendala di mitra ekspedisi aja suka telat jauh dri estimasi",5,baikcuma kendala mitra ekspedisi aja suka telat dri estimasi,netral
"tolong campaign shake shake nya dihapus aja atau diperbaiki , hp kondisi ga dishake kok mengarah ke campaign shake shake bikin ribet aja",4,tolong campaign shake shake nya hapus aja baik hp kondisi dishake arah campaign shake shake bikin ribet aja,netral
"lebih hemat belanja di toko pedia , gak nyangka belanja online semurah ini",5,hemat belanja toko dia nyangka belanja online murah,negatif
"kalau pengalaman gua di toko in? lambat pengirimannya g KY TT? kalau bs sih gua reting0 nga ad perubahan dr kemarin sy beli paket lama, udh 4kalli terlambat mul",1,alam gua toko in lambat kirim ky tt sih gua reting nga ad ubah dr kemarin sy beli paket kalli lambat mul,positif
komplain bikin ribet udah 8 hari sejak barang di Terima penjual masih status komplain,1,komplain bikin ribet barang terima jual status komplain,positif
terimakasih prosesnya cepat negosiasinya,5,terimakasih proses cepat negosiasi,positif
semakin gak jelas,2,,netral
"bayak toko yang gak kirim barangnya,tokonya di chet gak ada respon",1,bayak toko kirim barangnyatokonya chet respon,positif
"banyak produk yg sudah habis, tapi masih tampil. sudah order ternyata habis, dana tidak bisa langsung kembali. harus nunggu 3 hari. tolong di tertibkan seller yang stok habis masih ada di daftar produk.",1,produk yg habis tampil order habis dana langsung nunggu tolong tertib seller stok habis daftar produk,positif
👍,4,,netral
Tidak membantu di Saat ada kendala pembelian,1,bantu kendala beli,netral
mantap,5,mantap,positif
"Aplikasi nya aneh. Katanya dapat kupon. Tapi harus belanja dulu. Setelah belanja, kuponnya tiba-tiba menghilang begitu saja. Aneh banget. Lapor ke Tokopedia Care juga ngga membantu. Kesannya mereka sendiri juga bingung. Gimana sih? Penipuan kah ini? Dipaksa belanja secara tidak langsung?",1,aplikasi nya aneh kupon belanja belanja kupon tibatiba hilang aneh banget lapor tokopedia care bantu kesan bingung gimana sih tipu kah paksa belanja langsung,positif
"lapor, barang flash sale ngga bisa di klik detailnya.",5,lapor barang flash sale klik detail,positif
mantab,5,mantab,netral
"tokped memberikan pelayanan yg cukup memuaskan konsumen, semoga makin kredibel.",5,tokped layan yg muas konsumen moga kredibel,positif
Komplain bukan masalah yng selesai malah duit nya yang hilang,1,komplain yng selesai duit nya hilang,netral
komplen terlambat g ada proses smaa sekali,1,komplen lambat proses smaa,positif
mntap,5,mntap,netral
Tokopedia care tidak berguna. Tidak aktif,1,tokopedia care guna aktif,positif
g mntap,1,mntap,netral
"Tokopedia sekarang ongkirnya agak murahh (gratis ongkir jugaa), dan terhubung sama tiktok shop sm gopay.... Tapi tolong adaiin penilaian kurir atau pilih expedisi sendiri, makasihhh.... Mantap pokonya tokopediaa, elektronik sering adaa diskonn",5,tokopedia ongkirnya murahh gratis ongkir jugaa hubung tiktok shop sm gopay tolong adaiin nilai kurir pilih expedisi makasihhh mantap poko tokopediaa elektronik adaa diskonn,positif
mantap,5,mantap,positif
"baru ngajukan di gopay pinjam nya sudah ditolak , tidak hapus data , tolong hapus data saya karna saya tidak ada pinjaman , jika terjadi sesuatu saya tidak bertanggung jawab ... jadi saya unistall apk nya",1,ngajukan gopay pinjam nya tolak hapus data tolong hapus data karna pinjam tanggung unistall apk nya,negatif
bagus,5,bagus,netral
transaksi cepat dan pengiriman tepat waktu,5,transaksi cepat kirim,positif
mantap bagus bagus dan mulus,5,mantap bagus bagus mulus,positif
ok,5,oke,positif
proses cukup mudah utk usia manula,5,proses mudah utk usia manula,positif
keren gak ribet,5,keren ribet,negatif
tokopedia pengiriman menggunakan jne pengiriman lama blacklist aja jne pelayanan dan pengiriman sangat buruk,1,tokopedia kirim jne kirim blacklist aja jne layan kirim buruk,positif
sangat cocok untuk saya,5,cocok,netral
good banget,5,good banget,positif
g dpt diskon pengguna pertama👎👎,1,dpt diskon guna,positif
sangat membantu,5,bantu,netral
sabgat membantu,5,sabgat bantu,netral
ongkirnya pada mahal ga tau barangnya,3,ongkirnya mahal barang,positif
"maaf saya kasih bintang 2 Tokopedia makin lama makin pelit gratis ongkir, padahal sy sudah lama member Tokopedia semoga Tokopedia berani seperti toko online sebelah terutama promo dan ongkir nya 👍💪",2,maaf kasih bintang tokopedia pelit gratis ongkir sy member tokopedia moga tokopedia berani toko online belah promo ongkir nya,positif
kalau bisa cepat kirimnya,5,cepat kirim,positif
terimakasih Tokopedia mudah mudahan jadi tempat berbelanja onlen yg amanah dan terpercaya,5,terimakasih tokopedia mudah mudah belanja onlen yg amanah percaya,positif
Updatean sekarang jadi lebih banyak buffering,1,updatean buffering,netral
"Makin ke sini, makin mahal pengiriman luar pulau jawa. Padahal dulu sering gratis ongkir 0 rupiah",3,mahal kirim pulau jawa gratis ongkir rupiah,positif
"aneh aplikasi sebesar ini tidak ada live chatnya , kecewa saya beli di sini sangat menyesal , beli pempers datang softcash , komplen ke pihak tokpednya , malah tidak ada repon , usahain adain live chat nya seperti aplikasi lain , bintang 1 buat tokped",1,aneh aplikasi live chatnya kecewa beli sesal beli pempers softcash komplen tokpednya repon usahain adain live chat nya aplikasi bintang tokped,positif
skrg makin jelek.. toko terakhir online ga keliatan.jadi makin membingungkan klo mau belanja..sisa saldo toped ga bs di gabung buat pembayaran.jd saldonya ngendap,2,skrg jelek toko online keliatanjadi bingung belanjasisa saldo toped gabung pembayaranjd saldo ngendap,netral
"lemot, server eror 1 minggu ga sembuh2. kacaw parahh",1,lot server eror minggu sembuh kacaw parahh,negatif
menysahkan pembeli,1,menysahkan beli,netral
"buset dah, ekspedisi tokopedia ini, gak satset, lama banget pengiriman nya, di sebelah mah 2-3 hari udah sampe, ini lewat seminggu gak gerak gerak, disitu aja gak ada pergerakan",5,buset ekspedisi tokopedia satset banget kirim nya belah mah sampe minggu gerak gerak situ aja gera,positif
GOOD,5,good,positif
"sekarang tokped makin aneh, terlalu membodohi penggunaan, harga tidak sesuai ketika di checkout.",1,tokped aneh bodoh guna harga sesuai checkout,positif
HATI2 DI TOKO PEDIA BANYAK TOKO MALING DAN PENIPU.. TGL 16 APR 2025 SU MELAKUKAN TRANSAKSI BELI SHOWCASE 2 PINTU DI TOKO JAROTSTIREE... MODUS NYA SBB.. SY CHEK OUT.. TRUS SY BAYAR.. SELANG 1 HARI ADA PIHAK ADMIN TOKO YG WA SY MENGINFORMASIKAN BARANG SIAP DIKIRIM TP SY DIMINTA MERESPON WA DARI AGEN DISTRIBUTORNYA..SINGKAT CERITA DISITU SY DIMINTA ISI LINK ASURANSI . DIMANA SALAH SATU NYA MENGISI KODE OTP.. ALHASIL UANG SAYA LANGSUNG HILANG. SETELAH PENJUAL MELAKUKAN PEMBATALAN TANPA KONFIRMASI..,1,hati toko dia toko maling tipu tanggal apr su transaksi beli showcase pintu toko jarotstiree modus nya sbb sy chek out trus sy bayar selang admin toko yg wa sy informasi barang kirim sy merespon wa agen distributornyasingkat cerita situ sy isi link asuransi mana salah nya isi kode otp alhasil uang langsung hilang jual batal konfirmasi,negatif
KOK GA DAPET VOCER PENGGUNA PERTAMA YA??? MANA CS NYA LAMA BANGETTTT BANGETTT BANGETTTT,2,dapet vocer guna ya cs nya bangetttt bangettt bangetttt,positif
saya sagat senag bisa berbelanja degan murah,5,sagat senag belanja degan murah,netral
ok,5,oke,positif
semoga di ACC gopay later,5,moga acc gopay later,positif
mudah untuk bertransaksi,5,mudah transaksi,positif
mantap,5,mantap,positif
"Kurir rekomendasi tidak ada pilihan opsi. Kurir rekomendasi sengaja diset oleh pihak tokopedia. iya kalau kurir rekomendasi bagus & aman ngak papa, lah ini paket saya dinyatakan hilang, yg satunya paket datang melebihi waktu estimasi. dan pernah paket dinyatakan selesai padahal paket belum sy terima, anehnya pihak toped memberi wewenang pada kurir untuk teken selesai, sungguh bobrok sistemnya. Hati² yg dikirim via kurir rekomendasi ID EXPRESS.",1,kurir rekomendasi pilih opsi kurir rekomendasi sengaja set tokopedia iya kurir rekomendasi bagus aman ngak papa paket nyata hilang yg satu paket lebih estimasi paket nyata selesai paket sy terima aneh toped wewenang kurir teken selesai sungguh bobrok sistem hati yg kirim via kurir rekomendasi id express,positif
saat kami pembeli ada kendala dgn penjual toko pedia tdk memberikan solusi malah diam,1,beli kendala dgn jual toko dia solusi diam,positif
SUMPAH. BANYAK TOKO PENIPU.. Pihak tokped jg nggak membantu sama sekali.. jika anda pembeli ditoko penipu 100% UANG ANDA TIDAK KEMBALI. Dan kalian tidak bisa mengirim barang kleam karna alamat tidak lengkap.. pihak tokped Tak ad responn👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 TOKOPEDIA👎🏻 PELAYANAN BURUK.. PINDAH KE SHOPPE /LAZADA aj..,1,sumpah toko tipu tokped bantu beli toko tipu uang kirim barang kleam karna alamat lengkap tokped ad responn tokopedia layan buruk pindah shoppe lazada aj,netral
Bagus untuk saya,5,bagus,netral
halo min kenapa sekarang mau buka toko di Tokopedia malah di alihkan ke tiktok seller mohon solusinya saya mau bikin toko di tokped aja🙏,5,halo min buka toko tokopedia alih tiktok seller mohon solusi bikin toko tokped aja,positif
yg aku ska dari tokped kl barang cancel uang otomatis lngsng balik ke ewalet/banking tanpa harus cek cok barang heheh,5,yg ska tokped kl barang cancel uang otomatis lngsng ewaletbanking cek cok barang heheh,netral
"aplikasinya ribet, masa pengembalian barang ke seller hrs buyer yg input resinya. aneh. tidak aman belanja disini, pengembalian susah. chat cs juga lama responnya, mana gajelas jawaban",1,aplikasi ribet kembali barang seller hrs buyer yg input resi aneh aman belanja kembali susah chat cs responnya gajelas,negatif
bagus,5,bagus,netral
kenapa tidak ada opsi HAPUS di ulasan dalam aplikasi?,3,opsi hapus ulas aplikasi,negatif
ok,5,oke,positif
tokopedia terbaik dan mudah,5,tokopedia baik mudah,netral
"pusat resolusi tim tokopedia care selalu memberikan keputusan yang tidak adil, kalo hal sepele gini aja selalu terjadi, kebangkrutan pun akan terjadi, camkan !",1,pusat resolusi tim tokopedia care putus adil kalo sepele gin aja bangkrut cam,positif
lemot deh sekarang appsnya,1,lot deh appsnya,negatif
Luar biasa,5,,netral
tolong untuk Brantas akun toko² baru yg menjual barang sampai 1000++ tetapi memakai foto template min,3,tolong brantas akun toko yg jual barang pakai foto template min,positif
tulisannya kok jadi kecil-kecil bangke,1,tulis kecilkecil bangke,netral
sangat membantu dan sangat terpercaya👍👍👍👍👍👍👍👍👍,5,bantu percaya,positif
sll mudah di Tokopedia ini . saya suka banget,5,sll mudah tokopedia suka banget,positif
bagus,4,bagus,netral
pengembalian barang & dana lama udah 1 Minggu belum ada kepastian apa harus nunggu 1 tahun,1,kembali barang dana minggu pasti nunggu,positif
Jangan Khawatir Belanja Aja di Tokopedia Harga Semakin Murah Kualitas Terbaik Tanpa Ribet Tanpa Masalah Makin Cocok Aku Suka Tokopedia Oke Sip!,5,khawatir belanja aja tokopedia harga murah kualitas baik ribet cocok suka tokopedia oke sip,positif
muasok maszeh,5,muasok maszeh,netral
ok aja ...,4,oke aja,positif
baru x ini gw blanja online ke tipu mana uang gw ga bisa balik,1,x blanja online tipu uang,netral
baik,5,,netral
"kenapa tidak bisa sya mau pake blnja limit sy kenapa gagal terus , di apl tokped sdg kn di apl tiktok bisa ,, sudah di coba update hpus cache ganti hp ttep ga bs .",1,sya pake blnja limit sy gagal apl tokped sdg kn apl tiktok coba update hpus cache ganti hp ttep,negatif
good,5,good,positif
"untuk kurir agar diberikan pilihan yang tersedia, atau dimasukkan filter pencarian supaya user lega, tidak menyalahkan tokopedia",4,kurir pilih sedia masuk filter cari user lega salah tokopedia,negatif
dana pembatalan pesanan ilang sebagian.padahal tidak di pakai.di komplen di tokopedia care tidak ada respon,1,dana batal pesan ilang sebagianpadahal pakaidi komplen tokopedia care respon,positif
aplikasinya sangat bug mohon di perbaiki,2,aplikasi bug mohon baik,negatif
Ongkir nya mahal & promo nya kurang menarik,3,ongkir nya mahal promo nya tarik,positif
"semakin lama semakin kere,gak ada gratis ongkir...gembel",1,keregak gratis ongkirgembel,positif
jadi lebih baik dari pada harus ke pasar,5,pasar,netral
semua rating yang dijual itu setingan,1,rating jual ting,positif
platform tokped dan tiktok shop udh ok hanya saja d bagian ekspedisi nya bnyk barang yg GK sampai k customer padahal customer nungguin paket nya...tp tiba2 malah jadi retur tolong di benahi bagian pengiriman nya,5,platform tokped tiktok shop oke d ekspedisi nya bnyk barang yg k customer customer nungguin paket nyatp retur tolong benah kirim nya,positif
Makin murah aja ...,5,murah aja,positif
pengiriman lamban,1,kirim lamban,positif
"banyak toko bermasalah, retur barangpun customer rugi karena saldo pengembalian dikurang ongkir, kapoklah pake apk ini",1,toko masalah retur barang customer rugi saldo kembali kurang ongkir kapok pake apk,negatif
"cara belinya ternyata gampang, kukira susah",5,beli gampang kira susah,negatif
update malah blank,3,update blank,netral
Berkali kali dikecewakan dengan kurir rekomendasi yg ditunjuk tokopedia.. Pelayanan komplain costomer pun hanya system robot yg balas.. Gak ada solusi dari manusia manusia hidup yg ada di tokopedia..,1,kali kali kecewa kurir rekomendasi yg tokopedia layan komplain costomer system robot yg balas solusi manusia manusia hidup yg tokopedia,positif
bagus sekali,5,bagus,netral
kerennn,5,kerennn,netral
Baguss,5,baguss,netral
aplikasi bagus udah lama daftar tp sering ganti nomer jd akun jg ganti,5,aplikasi bagus daftar ganti nomer akun ganti,negatif
mohon maaf tapi paket saya sudah berulang kali di kirim eh balik lagi di simpan ke gudang nya seperti itu terus tanpa kejelasan saya chat penjual gk ada respon samapi saya mau keluar rumah pun gk pernah jadi harus nya bisa dong kita kasih reting buat semua biar enak kasih reting nya ini udah yg jual gk ada respon kurir entah kemana di cancel gk bisa jadi membuat kesal saja udah itu aja y maaf y toko pedia,3,mohon maaf paket ulang kali kirim eh simpan gudang nya jelas chat jual respon samapi rumah nya kasih reting biar enak kasih reting nya yg jual respon kurir mana cancel kesal aja y maaf y toko dia,positif
"gua beneran kecewa sama Tokopedia, sengaja gua kasih bintang 5 biar kalian semua tau kalau pas gua tautkan gopay ke Tokopedia, saldo gua dicuri buat bayar google play 154k dan am premium 8k, pdhl apk nya populer kok bisa curi uang receh kek gtu???",5,gua beneran kecewa tokopedia sengaja gua kasih bintang biar pas gua taut gopay tokopedia saldo gua curi bayar google play k am premium k pdhl apk nya populer curi uang receh kek gtu,negatif
mantap,5,mantap,positif
mantap,5,mantap,positif
👍👍👍,5,,netral
aplikasi paling jelek,1,aplikasi jelek,negatif
mantap e-commerce terpercaya dan termurah,5,mantap ecommerce percaya murah,positif
memuaskan,5,muas,positif
payah voucer diskon gimmick,1,payah voucer diskon gimmick,positif
makin update makin tidak bagus masa maksimal beli ga bisa lebih dari 400 mau ubah jumlah yang mau di beli pun susah di refresh terus belum 1 detik ubah sudah di refresh lagi jadi nya susah belanja. kembalikan toko pedia yang lama,1,update bagus maksimal beli ubah beli susah refresh detik ubah refresh nya susah belanja kembali toko dia,netral
"dari 2021 pakai tokped, baru th 2025 saya beli produk di tipu. sistem retur barang sulit tidak seperti shopee, seller ngga jelas. minta pick up barang retur ga di pick up2, disuruh kirim mandiri alamat ngga jelas cuma kelurahan dan kecamatan doang. ngga ada chat CS yg ada BOT doang. setelah proses retur saya, mau dikembalikan / tidak uang saga, saya akan UNINSTALL si tokped ini.",1,pakai tokped th beli produk tipu sistem retur barang sulit shopee seller pick up barang retur pick up suruh kirim mandiri alamat lurah camat doang chat cs yg bot doang proses retur kembali uang saga uninstall si tokped,netral
"tolonglah development nya gimana ini. pengguna coin nya gak bisa padahal belanja 150k lebih tapi coin nya gak bisa dipakai pdahal ada 85k. coba ditingkatkan lagi lah untuk penggunaan coin kayak toko oren noh penggunaan coin bisa 25-50% ini malah gak bisa digunain coin nya hanya toko"" tertentu gimana sih. padahal yg kubeli ditoko udah verif centang tapi coin gak bisa dipakai. ada toko yg bisa dipakai pun cuma bisa sedikit pemakaian coin nya hadehh tolong lah ditingkatkan buar ga kalah sama sebela",4,tolong development nya gimana guna coin nya belanja k coin nya pakai pdahal k coba tingkat guna coin kayak toko oren noh guna coin digunain coin nya toko gimana sih yg bel toko verif centang coin pakai toko yg pakai pakai coin nya hadehh tolong tingkat buar kalah bela,positif
mantap,5,mantap,positif
apk nyaa bagus gratis ongkir pula,5,apk nyaa bagus gratis ongkir,positif
"Tokopedia kualitas semakin buruk, paket saya diretur ke penjual tanpa alasan yang jelas padahal saya udh sabar menunggu. Kita komplain penanganan lambat. Pengembalian dana tdk 100% mcm Shop**. Kecewa deh🙂 Langsung uninstal ☹️",1,tokopedia kualitas buruk paket retur jual alas sabar tunggu komplain tangan lambat kembali dana mcm shop kecewa deh langsung uninstal,positif
bagus,5,bagus,netral
"Aneh bgt ya belanja lgsg bayar sama cod , byar lgsg kirimnya lama tapi klo Cod kirimnya cepet",5,aneh bgt ya belanja lgsg bayar cod byar lgsg kirim cod kirim cepet,positif
mantap,3,mantap,positif
cs tokopedia sangat buruk!,2,cs tokopedia buruk,negatif
terdapat kendala diley saat kita menekan daftar belanja padahal jaringan sangat bagus,4,kendala diley tekan daftar belanja jaring bagus,positif
Kenapa liat2 produk terus ke scroll ke atas lagi. Dari ganti hp baru sama aja kek tahun lalu,1,liat produk scroll ganti hp aja kek,positif
banyak bgt promo loveeee bgtt♥️♥️♥️♥️,5,bgt promo loveeee bgtt,positif
buka chat nya error terus jadi ga bisa baca chat ke penjual,1,buka chat nya error baca chat jual,positif
"Refund dana pembatalan/komplain retur hrs tunggu 14hari kerja belum masuk!! Sejak ditinggal founder tokped kok jd begini? jarang kasih vc diskon. Refund biaya daftar kartu debit gk pernah ada ! Alasan refund jg opsi terbatas. Pembatalan nunggu otomatis lama sementara penjual masa 😵bodoh, belanja ingat hrs chat dulu. Klaim asuransi makin ribet hrs isi form dan KTP asli. Adm Dylan jg kurang bs memberi solusi memuaskan. Cs ada telp tp gk kasih kompensasi ataupun perubahan trus gapain sih telp?!",2,refund dana pembatalankomplain retur hrs tunggu kerja masuk tinggal founder tokped jarang kasih vc diskon refund biaya daftar kartu debit alas refund opsi batas batal nunggu otomatis jual bodoh belanja hrs chat klaim asuransi ribet hrs isi form ktp asli adm dylan solusi muas cs telepon kasih kompensasi ubah trus gapain sih telepon,positif
"sdh bbrp bulan ini gak belanja2 lagi d sini. ongkirnya sudah terlalu hebat. dtulisan grtis ongkir, pas checkout masih kena juga. dluminimal beli 50rb dpt grtis ongkir dan beneran dpt. seandainy jg msh kena ongkir biasanya masih d bawah 10 rb. skrg. belibarang 50rb ongkirnya separoh dari harga barang.... kan sdh d luar nalar.. dtunggu tunggu bbrp bulan msh aj gk berubah. wkwkk.. hrgsdh sama dg toko offline",1,bbrp belanja d ongkirnya hebat dtulisan grtis ongkir pas checkout kena dluminimal beli rb dpt grtis ongkir beneran dpt seandainy msh kena ongkir d rb skrg belibarang rb ongkirnya separoh harga barang d nalar dtunggu tunggu bbrp msh aj ubah wkwkk hrgsdh dg toko offline,positif
"kecewa pesanan nya gk bisa di batalkan padahal baru pesan, belum dikirim jadi trauma belanja di Tokopedia",1,kecewa pesan nya batal pesan kirim trauma belanja tokopedia,netral
"Saya pengguna baru , kecewa download tokopedia , mau beli barang tapi tidak bisa di proses Terpaksa saya hapus",1,guna kecewa download tokopedia beli barang proses paksa hapus,netral
"proses claim refund dananya lama sekali,gara2 saler nakal,ngirim barang rusak,padahal barang sudah dikembalikan,tpi saler tidak korporatif di tambah sistem dari toped berbelit2 nunggu pihak saler kinfirmasi penerimaan barang,sedangkan lacak barang sudah sampai,sistem refund yg lama,ditambah saler nakal..tidak spt toko sebelah,sampai sekarang tidak ada kejelasan dana refund saya",1,proses claim refund dana sekaligara saler nakalngirim barang rusakpadahal barang dikembalikantpi saler korporatif sistem toped belit nunggu saler kinfirmasi terima barangsedangkan lacak barang sampaisistem refund yg lamaditambah saler nakaltidak spt toko sebelahsampai jelas dana refund,positif
tkopediaa tloong respoon syaa yaa urusiin maslaaah yg syaa punyaa syaa belii minyaak syuur yg harga nya lumayaan yg dataang casing syaa tlah d tipu oleh seller dan syaa mmintaa pihak tokopediaa bantu urus malaah danaa saya di tahaan knapaa caraa kerjaanya sprtii ituu ?sdangkan yg syaa punyaa laagii 2 minyaak d tipu laagi casing laagii hnggga detikk ini tdk adaa kjlaassn dri pihak kliaan mmng buat kliaan uang syaa sdikit tapi bagi syaa itu besar krnaa sya punya anaak tlong uang syaa kmbalikn,2,tkopediaa tloong respoon syaa yaa urusiin maslaaah yg syaa punyaa syaa beli minyaak syuur yg harga nya lumayaan yg dataang casing syaa tlah d tipu seller syaa mmintaa tokopediaa bantu urus malaah danaa tahaan knapaa caraa kerjaanya sprtii ituu sdangkan yg syaa punyaa laagii minyaak d tipu laagi casing laagii hnggga detikk adaa kjlaassn dri kliaan mmng kliaan uang syaa sdikit syaa krnaa sya anaak tlong uang syaa kmbalikn,positif
baik,5,,netral
aplikasi gak jelas,1,aplikasi,negatif
Excellent,5,excellent,netral
ok,5,oke,positif
saya berharap datang nya cepat...dn barang nya ori..ya min,5,harap nya cepatdn barang nya oriya min,netral
skrng ga ada lg platform yg harga jd murah😁😄,5,skrng lg platform yg harga murah,positif
mantab jaya,5,mantab jaya,positif
Proses cepat.,5,proses cepat,positif
tokopedia Mantaf,5,tokopedia mantaf,netral
oke,5,oke,positif
TOLOL,1,tolol,negatif
"Happy sekali, selain belanjanya lebih gampang dan ga ribet, sekarang pembayannya bisa pake QRIS. Jadi gampang banget kalo mau beli apa-apa, ga ribet dengan admin♥️♥️♥️",5,happy belanja gampang ribet pembayan pake qris gampang banget kalo beli apaapa ribet admin,netral
aplikasi lengkap dan sangat bagus,5,aplikasi lengkap bagus,negatif
"hati2 kalau sudah mulai komplain pembelian disini, ada cf namanya aruna gak perduli masalah dikomplain yg penting minta video unboxing",1,hati komplain beli cf nama aruna duli komplain yg video unboxing,netral
"Menambahkan saran, dan untuk SEGERA DIBENAHI ! kalau bisa opsi pengiriman MULTI KURIR DIHAPUS karena pengiriman jadi sangat lama, dan sangat merugikan konsumen tokopedia itu sudah kalah dg shopee dalam hal promo2 gratis ongkir dsbnya, masa ini mau kalah lagi soal masalah pengiriman, dalam hal pengiriman sangat jauh dg SPX Express !!",1,saran benah opsi kirim multi kurir hapus kirim rugi konsumen tokopedia kalah dg shopee promo gratis ongkir dsbnya kalah kirim kirim dg spx express,positif
sangat membantu berbelanja,5,bantu belanja,netral
sangat memeudahkan transaksinya,5,memeudahkan transaksi,positif
"langsung uninstal setelah pesanan terakhir datang, tidak rekomendasi untuk kurirnya. pesanan terlama selama belanja online..",1,langsung uninstal pesan rekomendasi kurir pesan lama belanja online,netral
makasih,5,makasih,positif
keren,5,keren,netral
Nambah kesini nambah jadi sampah nih aplikasi,1,nambah kesini nambah sampah nih aplikasi,negatif
"pengiriman sesama malang sdh 10 hari, tidak sampai2, mau komplain tanggal diundur",1,kirim malang komplain tanggal undur,negatif
ok,5,oke,positif
"lay out tokopedia bikin bingung terutama transaksi, keranjang, sama chat, aneh lu pe'a, jadi tolol pas dibeli tiktok",1,lay out tokopedia bikin bingung transaksi keranjang chat aneh pea tolol pas beli tiktok,positif
disarankan untuk tidak kerjasama dengan ekspedisi jne itu ekspedisi sampaha,4,saran kerjasama ekspedisi jne ekspedisi sampaha,positif
"Ongkir tokopedia ke Raja Ampat 60% Sangat Mahal, Sangat beda Jauh dengan Marketplace lainnya Sangat Banyak Lapak penipuan di tokopedia, Mohon ditinjau dari segi harga yg ditawarkan jauh dibawa harga barang dan Biaya kirim yang ditawarkan Sangat murah Semua pengiriman dihitung berdasarkan berat dan ukuran kubikasi, pertanyaannya kok kenapa sangat beda jauh dengan marketplace lainnya?",1,ongkir tokopedia raja ampat mahal beda marketplace lapak tipu tokopedia mohon tinjau segi harga yg tawar bawa harga barang biaya kirim tawar murah kirim hitung dasar berat ukur kubikasi tanya beda marketplace,positif
jossss,5,jossss,netral
Mantap terbaik,5,mantap baik,positif
"kecewa proses pembatalan pesanan jadi susah, cekout barang pengiriman instan jam 09.00 penjual langsung di proses tetapi barang tidak dikirim2 sampai tenggang waktu 21.00 tgl 24, setelah lewat bukannya otomatis batal malah mundur ke 21.00 tgl 25. pesanan di proses tetapi di chat tidak direspon 🤬😡",1,kecewa proses batal pesan susah cekout barang kirim instan jam jual langsung proses barang kirim tenggang tanggal otomatis batal mundur tanggal pesan proses chat direspon,positif
Kupon hanya berlaku untuk produk tertentu. Produk yang dimaksud mungkin produk yang belum diupload. Berhasil klaim kupon tapi gak muncul saat mau checkout. Separah itukah Tokopedia sekarang? Saya lihat icon burung tokopedia kayak melas sekarang ekpresinya.,2,kupon laku produk produk produk diupload hasil klaim kupon muncul checkout parah tokopedia lihat icon burung tokopedia kayak melas ekpresinya,positif
sangat membantu,5,bantu,netral
itu fitur gratis ongkir sekarang cuma jadi pajangan doang? saya perhatikan udh berminggu-minggu gak berfungsi. kasihan Sealer udah bayar,1,fitur gratis ongkir pajang doang perhati bermingguminggu fungsi kasihan sealer bayar,positif
sangt membantu,5,sangt bantu,netral
tidak bisa menghapus history chat,3,hapus history chat,netral
bagus,5,bagus,netral
"sekarang kupon hanya gimik doang, dah ga kaya dulu real beneran diskon, dah males gw ah",1,kupon gimik doang kaya real beneran diskon males ah,positif
oppss,5,oppss,netral
"Pesanan gua di embat, pembayaran lewat dana ,dari tanggal 4 april sampai tanggal sekarang ,belum dikirim",1,pesan gua embat bayar dana tanggal april tanggal kirim,negatif
"aplikasi banyak bugnya, mau melakukan pembayaran tapi error mulu",1,aplikasi bugnya bayar error mulu,negatif
"ni aplikasi gak ada CS nya (orang), yg bales sistem/robot, jika terjadi keluhan gak ada yg bisa ngasih solusi, penangan lama banget.. kapok belanja disini..",1,ni aplikasi cs nya orang yg bales sistemrobot keluh yg ngasih solusi nang banget kapok belanja,negatif
penjual tidak jelas. Cs dichat gaada jawab. rugi waktu aja,1,jual cs dichat gaada rugi aja,netral
ok,5,oke,positif
gw beli lego terus di batalkan sama sistem dengan alasan 1.membeli barang terlarang (gak manuk akal) 2.menggunakan 2 akun atau lebih(akun gw cuma satu) 3.mencuri data pribadi orang lain,1,beli lego batal sistem alas beli barang larang manuk akal akun lebihakun curi data pribadi orang,negatif
cukup membantu,5,bantu,netral
Tokopedia sangat keren dalam layanan nya,5,tokopedia keren layan nya,netral
Ok semoga lebih baik dan amanah,4,oke moga amanah,positif
Good,5,good,positif
"banyakin promonya dong. Sudah lama gak ada diskon potongan, yang ada cuma gratis ongkir",3,banyakin promonya diskon potong gratis ongkir,positif
susah banget download nyah,2,susah banget download nyah,netral
